Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Parental_Involvement_Encoded,Access_to_Resources_Encoded,Extracurricular_Activities_Encoded,Motivation_Level_Encoded,Internet_Access_Encoded,Family_Income_Encoded,Teacher_Quality_Encoded,School_Type_Encoded,Peer_Influence_Encoded,Learning_Disabilities_Encoded,Parental_Education_Level_Encoded,Distance_from_Home_Encoded,Gender_Encoded,Study_Attendance_Product,Study_Sleep_Balance,Academic_Support_Index,Home_Support_Index,Wellbeing_Index
23,86,Medium,Medium,Yes,8,59,Low,Yes,1,Low,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Female,68,2,2,1,1,1,1,2,0,0,0,3,2,0,1978,2.875,6,6,11
14,85,Medium,Medium,No,6,94,Low,Yes,0,High,Medium,Public,Positive,4,No,College,Near,Male,67,2,2,0,1,1,3,2,0,1,0,2,3,1,1190,2.3333333333333335,5,7,10
21,82,High,Medium,No,7,52,Medium,Yes,4,Low,Medium,Public,Neutral,3,No,High School,Far,Male,67,3,2,0,2,1,1,2,0,0,0,1,1,1,1722,3.0,9,5,10
25,99,High,Medium,Yes,6,97,High,Yes,0,Medium,Medium,Public,Positive,3,No,College,Moderate,Male,75,3,2,1,3,1,2,2,0,1,0,2,2,1,2475,4.166666666666667,5,7,9
10,89,Low,Low,Yes,8,69,Low,Yes,3,Low,Medium,Public,Negative,4,No,College,Moderate,Male,63,1,1,1,1,1,1,2,0,-1,0,2,2,1,890,1.25,7,4,12
23,91,Low,Medium,No,9,77,High,Yes,1,Low,Medium,Public,Positive,5,No,High School,Near,Male,70,1,2,0,3,1,1,2,0,1,0,1,3,1,2093,2.5555555555555554,6,3,14
16,95,Medium,Low,Yes,6,88,Low,Yes,2,High,High,Public,Positive,4,No,High School,Near,Female,70,2,1,1,1,1,3,3,0,1,0,1,3,0,1520,2.6666666666666665,7,6,10
23,69,Medium,High,Yes,7,62,Medium,Yes,1,Medium,Medium,Public,Neutral,4,Yes,High School,Far,Male,64,2,3,1,2,1,2,2,0,0,1,1,1,1,1587,3.2857142857142856,7,5,11
15,63,Medium,Low,No,8,55,Low,Yes,0,Medium,Low,Public,Neutral,3,No,College,Near,Female,59,2,1,0,1,1,2,1,0,0,0,2,3,0,945,1.875,3,6,11
9,79,Medium,Low,No,7,90,High,Yes,1,High,Low,Public,Neutral,3,No,High School,Near,Male,63,2,1,0,3,1,3,1,0,0,0,1,3,1,711,1.2857142857142858,4,6,10
10,81,High,Medium,Yes,8,99,Medium,No,2,Medium,Medium,Public,Positive,4,No,Postgraduate,Moderate,Female,67,3,2,1,2,0,2,2,0,1,0,3,2,0,810,1.25,6,8,12
20,93,Low,High,Yes,7,83,Medium,Yes,0,Medium,Medium,Private,Negative,2,Yes,High School,Near,Male,68,1,3,1,2,1,2,2,1,-1,1,1,3,1,1860,2.857142857142857,6,4,9
22,78,Medium,Medium,Yes,5,91,Low,Yes,0,Medium,High,Private,Negative,3,No,Postgraduate,Near,Male,68,2,2,1,1,1,2,3,1,-1,0,3,3,1,1716,4.4,6,7,8
15,83,Medium,Medium,No,7,97,Medium,Yes,2,Low,High,Private,Neutral,2,No,High School,Near,Female,97,2,2,0,2,1,1,3,1,0,0,1,3,0,1245,2.142857142857143,8,4,9
24,81,Medium,Low,No,9,61,Medium,Yes,1,Low,Low,Public,Positive,4,No,College,Near,Female,66,2,1,0,2,1,1,1,0,1,0,2,3,0,1944,2.6666666666666665,4,5,13
10,62,Medium,Low,No,7,68,High,Yes,3,Medium,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,61,2,1,0,3,1,2,2,0,0,0,3,3,1,620,1.4285714285714286,7,7,10
20,85,High,Medium,No,9,61,High,Yes,2,High,Medium,Public,Positive,3,No,College,Near,Male,70,3,2,0,3,1,3,2,0,1,0,2,3,1,1700,2.2222222222222223,7,8,12
13,93,Low,Low,Yes,4,53,High,Yes,1,Medium,Low,Public,Positive,1,No,Postgraduate,Near,Male,65,1,1,1,3,1,2,1,0,1,0,3,3,1,1209,3.25,4,6,5
16,66,Low,Medium,Yes,8,87,High,Yes,3,Medium,Medium,Public,Positive,2,No,High School,Moderate,Female,64,1,2,1,3,1,2,2,0,1,0,1,2,0,1056,2.0,8,4,10
20,84,Medium,High,Yes,6,57,High,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Far,Female,69,2,3,1,3,1,2,2,0,1,0,1,1,0,1680,3.3333333333333335,8,5,10
15,84,Medium,High,No,6,55,Low,Yes,1,Medium,Medium,Private,Negative,2,No,High School,Near,Male,64,2,3,0,1,1,2,2,1,-1,0,1,3,1,1260,2.5,7,5,8
18,67,Low,Low,Yes,9,68,Low,Yes,2,Low,High,Private,Negative,2,No,Postgraduate,Near,Male,61,1,1,1,1,1,1,3,1,-1,0,3,3,1,1206,2.0,7,5,11
26,65,Low,Medium,No,7,53,Low,Yes,3,High,Medium,Public,Positive,2,No,High School,Near,Female,64,1,2,0,1,1,3,2,0,1,0,1,3,0,1690,3.7142857142857144,8,5,9
17,99,Medium,High,No,6,59,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Male,68,2,3,0,2,1,2,2,0,0,0,1,2,1,1683,2.8333333333333335,6,5,9
25,76,Medium,High,No,8,53,High,Yes,1,High,High,Public,Positive,3,Yes,High School,Far,Female,67,2,3,0,3,1,3,3,0,1,1,1,1,0,1900,3.125,8,6,11
13,69,High,Low,No,4,94,Medium,Yes,3,Low,Low,Public,Positive,3,Yes,High School,Near,Male,62,3,1,0,2,1,1,1,0,1,1,1,3,1,897,3.25,6,5,7
23,67,Medium,Medium,Yes,9,89,Medium,Yes,2,Low,High,Public,Neutral,2,No,High School,Near,Female,66,2,2,1,2,1,1,3,0,0,0,1,3,0,1541,2.5555555555555554,8,4,11
29,87,Medium,High,Yes,10,93,High,Yes,1,Low,Medium,Public,Neutral,4,No,High School,Moderate,Male,72,2,3,1,3,1,1,2,0,0,0,1,2,1,2523,2.9,7,4,14
5,84,Medium,Medium,Yes,8,93,High,Yes,4,High,High,Public,Positive,3,No,College,Moderate,Male,68,2,2,1,3,1,3,3,0,1,0,2,2,1,420,0.625,10,7,11
15,86,Medium,High,Yes,8,97,Medium,Yes,4,High,Medium,Public,Positive,3,No,High School,Near,Male,71,2,3,1,2,1,3,2,0,1,0,1,3,1,1290,1.875,10,6,11
23,64,Medium,Medium,Yes,7,59,High,Yes,3,Medium,Medium,Public,Positive,2,No,High School,Moderate,Female,65,2,2,1,3,1,2,2,0,1,0,1,2,0,1472,3.2857142857142856,8,5,9
19,96,Medium,Low,Yes,5,95,Low,No,2,Medium,Low,Private,Neutral,3,No,High School,Moderate,Female,68,2,1,1,1,0,2,1,1,0,0,1,2,0,1824,3.8,4,5,8
22,76,Medium,Low,No,9,76,Medium,Yes,2,Low,High,Public,Neutral,5,No,High School,Far,Female,65,2,1,0,2,1,1,3,0,0,0,1,1,0,1672,2.4444444444444446,7,4,14
16,73,High,Low,Yes,8,58,Medium,Yes,1,Medium,Medium,Public,Neutral,4,No,High School,Near,Female,64,3,1,1,2,1,2,2,0,0,0,1,3,0,1168,2.0,5,6,12
21,78,Medium,Low,No,8,83,Medium,Yes,2,Medium,Medium,Public,Positive,4,Yes,High School,Far,Male,65,2,1,0,2,1,2,2,0,1,1,1,1,1,1638,2.625,6,5,12
19,76,High,High,Yes,8,66,Low,Yes,0,Low,High,Private,Negative,4,Yes,High School,Near,Male,65,3,3,1,1,1,1,3,1,-1,1,1,3,1,1444,2.375,7,5,12
27,95,High,Medium,No,7,52,High,Yes,3,Medium,High,Private,Negative,3,No,College,Moderate,Female,73,3,2,0,3,1,2,3,1,-1,0,2,2,0,2565,3.857142857142857,9,7,10
22,97,Medium,High,Yes,6,54,Medium,Yes,1,Low,High,Public,Positive,3,No,Postgraduate,Near,Male,72,2,3,1,2,1,1,3,0,1,0,3,3,1,2134,3.6666666666666665,8,6,9
22,72,Low,Medium,Yes,10,71,Medium,Yes,1,Medium,Medium,Private,Negative,1,No,College,Near,Male,64,1,2,1,2,1,2,2,1,-1,0,2,3,1,1584,2.2,6,5,11
18,95,Medium,Medium,Yes,7,91,Low,Yes,0,Low,Medium,Public,Positive,4,Yes,Postgraduate,Moderate,Male,69,2,2,1,1,1,1,2,0,1,1,3,2,1,1710,2.5714285714285716,5,6,11
17,91,Medium,Medium,No,6,66,High,Yes,1,High,Medium,Private,Positive,3,No,High School,Near,Male,69,2,2,0,3,1,3,2,1,1,0,1,3,1,1547,2.8333333333333335,6,6,9
17,97,Medium,High,Yes,9,88,Medium,No,0,Medium,Medium,Public,Positive,2,No,High School,Near,Male,70,2,3,1,2,0,2,2,0,1,0,1,3,1,1649,1.8888888888888888,5,5,11
22,70,Low,Medium,No,7,53,Low,Yes,1,Low,Medium,Public,Positive,3,No,High School,Near,Female,83,1,2,0,1,1,1,2,0,1,0,1,3,0,1540,3.142857142857143,6,3,10
17,83,High,Medium,No,7,70,Low,Yes,3,Low,Medium,Private,Neutral,5,No,Postgraduate,Near,Female,68,3,2,0,1,1,1,2,1,0,0,3,3,0,1411,2.4285714285714284,8,7,12
22,71,Low,High,Yes,9,56,High,Yes,1,Low,High,Public,Neutral,3,Yes,College,Near,Female,84,1,3,1,3,1,1,3,0,0,1,2,3,0,1562,2.4444444444444446,8,4,12
32,93,Medium,Medium,Yes,8,93,High,Yes,1,Medium,High,Public,Negative,3,No,Postgraduate,Far,Female,75,2,2,1,3,1,2,3,0,-1,0,3,1,0,2976,4.0,7,7,11
25,60,Low,High,No,8,98,Medium,Yes,1,Medium,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,67,1,3,0,2,1,2,2,0,0,0,3,3,0,1500,3.125,7,6,13
18,83,Medium,High,Yes,5,66,Medium,Yes,0,High,Medium,Private,Positive,4,No,Postgraduate,Near,Male,69,2,3,1,2,1,3,2,1,1,0,3,3,1,1494,3.6,6,8,9
27,74,High,Medium,No,8,99,High,No,3,Medium,Medium,Public,Positive,4,No,High School,Near,Male,71,3,2,0,3,0,2,2,0,1,0,1,3,1,1998,3.375,7,6,12
18,73,Medium,Low,Yes,5,88,Medium,Yes,1,Medium,Medium,Public,Positive,5,No,College,Near,Female,66,2,1,1,2,1,2,2,0,1,0,2,3,0,1314,3.6,5,6,10
8,86,Medium,High,No,6,50,High,Yes,1,Medium,Medium,Public,Positive,2,No,College,Near,Male,65,2,3,0,3,1,2,2,0,1,0,2,3,1,688,1.3333333333333333,7,6,8
14,94,High,Medium,No,7,74,Medium,Yes,1,High,Medium,Private,Positive,5,No,College,Near,Male,70,3,2,0,2,1,3,2,1,1,0,2,3,1,1316,2.0,6,8,12
9,84,High,Low,No,7,92,High,Yes,1,Low,High,Public,Negative,4,No,Postgraduate,Near,Male,66,3,1,0,3,1,1,3,0,-1,0,3,3,1,756,1.2857142857142858,6,7,11
18,94,High,Medium,Yes,8,77,Medium,Yes,3,Medium,High,Public,Positive,4,No,Postgraduate,Near,Male,74,3,2,1,2,1,2,3,0,1,0,3,3,1,1692,2.25,9,8,12
20,71,High,Medium,No,8,77,Medium,Yes,0,High,Medium,Private,Neutral,4,No,High School,Moderate,Male,66,3,2,0,2,1,3,2,1,0,0,1,2,1,1420,2.5,5,7,12
30,81,Medium,High,No,8,72,Low,Yes,0,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,68,2,3,0,1,1,1,2,0,0,0,1,2,1,2430,3.75,6,4,10
22,78,Medium,High,Yes,5,70,Medium,Yes,2,Low,Medium,Public,Positive,1,No,College,Near,Male,68,2,3,1,2,1,1,2,0,1,0,2,3,1,1716,4.4,8,5,6
19,60,Medium,High,No,10,51,Medium,Yes,0,Medium,Medium,Public,Positive,3,Yes,College,Near,Female,62,2,3,0,2,1,2,2,0,1,1,2,3,0,1140,1.9,6,6,13
25,82,Medium,High,Yes,7,81,Medium,Yes,2,Medium,Medium,Private,Neutral,2,No,Postgraduate,Moderate,Male,71,2,3,1,2,1,2,2,1,0,0,3,2,1,2050,3.5714285714285716,8,7,9
7,86,Medium,Low,No,9,88,Medium,Yes,2,Low,Medium,Public,Negative,2,No,College,Near,Female,63,2,1,0,2,1,1,2,0,-1,0,2,3,0,602,0.7777777777777778,6,5,11
21,84,High,High,No,4,90,Medium,Yes,2,Medium,Low,Public,Neutral,3,No,High School,Far,Male,69,3,3,0,2,1,2,1,0,0,0,1,1,1,1764,5.25,7,6,7
25,89,Medium,Medium,Yes,7,81,High,Yes,3,Medium,Medium,Public,Negative,0,No,College,Near,Male,71,2,2,1,3,1,2,2,0,-1,0,2,3,1,2225,3.5714285714285716,8,6,7
11,83,High,Low,Yes,5,67,Medium,Yes,1,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Male,66,3,1,1,2,1,2,2,0,1,0,3,3,1,913,2.2,5,8,7
27,63,Medium,High,No,6,51,Low,Yes,0,Low,Medium,Public,Positive,2,No,Postgraduate,Moderate,Male,64,2,3,0,1,1,1,2,0,1,0,3,2,1,1701,4.5,6,6,8
22,65,Medium,Medium,Yes,7,95,Low,Yes,3,Low,Medium,Public,Positive,2,No,High School,Moderate,Female,65,2,2,1,1,1,1,2,0,1,0,1,2,0,1430,3.142857142857143,8,4,9
18,84,Medium,High,No,6,71,Medium,Yes,4,Medium,Low,Public,Positive,2,No,High School,Near,Female,69,2,3,0,2,1,2,1,0,1,0,1,3,0,1512,3.0,9,5,8
24,71,Medium,Low,No,9,80,Medium,Yes,2,Medium,High,Private,Positive,3,No,High School,Near,Female,66,2,1,0,2,1,2,3,1,1,0,1,3,0,1704,2.6666666666666665,7,5,12
34,63,Medium,High,Yes,10,60,Low,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Near,Female,67,2,3,1,1,1,2,2,0,-1,0,1,3,0,2142,3.4,7,5,14
21,77,Medium,Low,Yes,6,57,Medium,Yes,4,Low,Medium,Public,Negative,5,No,High School,Far,Male,65,2,1,1,2,1,1,2,0,-1,0,1,1,1,1617,3.5,8,4,11
21,82,Low,Low,Yes,6,54,High,Yes,3,Low,Medium,Public,Negative,2,No,College,Moderate,Male,65,1,1,1,3,1,1,2,0,-1,0,2,2,1,1722,3.5,7,4,8
17,73,High,Medium,No,5,90,High,Yes,1,Low,Medium,Private,Positive,4,No,High School,Near,Male,67,3,2,0,3,1,1,2,1,1,0,1,3,1,1241,3.4,6,5,9
15,89,Low,Medium,Yes,9,82,Low,Yes,1,Medium,Medium,Public,Neutral,3,No,College,Near,Male,66,1,2,1,1,1,2,2,0,0,0,2,3,1,1335,1.6666666666666667,6,5,12
25,86,Medium,Medium,Yes,7,81,Low,Yes,1,High,Low,Public,Positive,1,No,High School,Near,Male,69,2,2,1,1,1,3,1,0,1,0,1,3,1,2150,3.5714285714285716,5,6,8
15,73,Medium,High,No,7,96,Low,Yes,1,Low,Medium,Public,Negative,2,No,College,Near,Male,64,2,3,0,1,1,1,2,0,-1,0,2,3,1,1095,2.142857142857143,7,5,9
20,90,Medium,Medium,Yes,7,58,High,Yes,1,High,High,Private,Neutral,4,No,High School,Near,Male,70,2,2,1,3,1,3,3,1,0,0,1,3,1,1800,2.857142857142857,7,6,11
17,86,High,Medium,Yes,7,59,Low,Yes,3,Low,Medium,Public,Positive,3,No,Postgraduate,Moderate,Male,68,3,2,1,1,1,1,2,0,1,0,3,2,1,1462,2.4285714285714284,8,7,10
23,85,High,Low,Yes,6,59,Low,Yes,1,Medium,Medium,Public,Negative,1,No,High School,Near,Male,68,3,1,1,1,1,2,2,0,-1,0,1,3,1,1955,3.8333333333333335,5,6,7
22,82,High,Medium,Yes,7,71,Low,Yes,1,High,Medium,Private,Positive,3,No,High School,Near,Female,69,3,2,1,1,1,3,2,1,1,0,1,3,0,1804,3.142857142857143,6,7,10
26,60,Medium,Medium,Yes,7,94,High,Yes,3,High,Medium,Public,Positive,2,No,High School,Moderate,Female,68,2,2,1,3,1,3,2,0,1,0,1,2,0,1560,3.7142857142857144,8,6,9
17,88,Medium,Medium,Yes,8,94,Medium,Yes,5,Medium,Medium,Public,Neutral,2,Yes,College,Near,Female,70,2,2,1,2,1,2,2,0,0,1,2,3,0,1496,2.125,10,6,10
18,75,High,Medium,Yes,5,80,Medium,Yes,2,Low,High,Public,Neutral,3,No,High School,Near,Female,67,3,2,1,2,1,1,3,0,0,0,1,3,0,1350,3.6,8,5,8
14,98,High,High,Yes,7,83,Medium,No,3,Low,Medium,Public,Positive,3,No,College,Near,Male,72,3,3,1,2,0,1,2,0,1,0,2,3,1,1372,2.0,8,6,10
17,93,High,Low,No,6,95,Medium,Yes,1,Low,Medium,Public,Neutral,4,No,High School,Near,Male,69,3,1,0,2,1,1,2,0,0,0,1,3,1,1581,2.8333333333333335,5,5,10
22,84,High,Medium,No,7,81,Medium,Yes,1,Medium,Low,Private,Positive,3,No,High School,Moderate,Male,69,3,2,0,2,1,2,1,1,1,0,1,2,1,1848,3.142857142857143,5,6,10
25,70,Low,Medium,Yes,8,61,Low,No,3,Low,Medium,Public,Positive,4,No,College,Moderate,Female,64,1,2,1,1,0,1,2,0,1,0,2,2,0,1750,3.125,7,4,12
14,68,Low,Medium,Yes,6,85,Medium,Yes,2,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,63,1,2,1,2,1,2,2,0,0,0,1,3,0,952,2.3333333333333335,7,4,9
25,74,High,High,Yes,9,88,Medium,Yes,3,Medium,High,Public,Neutral,3,Yes,High School,Near,Male,70,3,3,1,2,1,2,3,0,0,1,1,3,1,1850,2.7777777777777777,10,6,12
28,79,High,Medium,Yes,4,82,Medium,Yes,0,Medium,Medium,Private,Positive,3,No,High School,Near,Male,70,3,2,1,2,1,2,2,1,1,0,1,3,1,2212,7.0,5,6,7
22,72,High,Medium,Yes,9,64,Low,Yes,1,Medium,Medium,Public,Negative,2,No,College,Near,Female,66,3,2,1,1,1,2,2,0,-1,0,2,3,0,1584,2.4444444444444446,6,7,11
31,81,Medium,Medium,No,9,70,Low,Yes,1,Low,Medium,Public,Neutral,4,No,Postgraduate,Near,Female,70,2,2,0,1,1,1,2,0,0,0,3,3,0,2511,3.4444444444444446,6,6,13
15,67,Medium,High,Yes,6,74,High,Yes,0,High,Medium,Public,Positive,2,No,Postgraduate,Near,Female,66,2,3,1,3,1,3,2,0,1,0,3,3,0,1005,2.5,6,8,8
13,99,Medium,Medium,Yes,6,57,Medium,Yes,1,Low,Medium,Public,Negative,5,No,College,Near,Male,68,2,2,1,2,1,1,2,0,-1,0,2,3,1,1287,2.1666666666666665,6,5,11
9,64,Medium,Medium,No,5,73,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,College,Near,Male,61,2,2,0,2,1,2,2,0,1,0,2,3,1,576,1.8,6,6,9
29,97,Medium,Medium,No,8,58,Medium,Yes,1,High,Medium,Private,Negative,4,No,College,Moderate,Female,72,2,2,0,2,1,3,2,1,-1,0,2,2,0,2813,3.625,6,7,12
24,97,High,Low,No,7,75,Low,Yes,1,Medium,Medium,Public,Negative,2,No,High School,Moderate,Female,69,3,1,0,1,1,2,2,0,-1,0,1,2,0,2328,3.4285714285714284,5,6,9
20,81,Medium,Low,Yes,6,53,Low,Yes,0,Medium,Low,Public,Neutral,4,No,High School,Far,Female,63,2,1,1,1,1,2,1,0,0,0,1,1,0,1620,3.3333333333333335,3,5,10
22,89,Medium,High,Yes,5,97,Medium,Yes,2,Medium,Medium,Private,Neutral,5,No,High School,Near,Male,72,2,3,1,2,1,2,2,1,0,0,1,3,1,1958,4.4,8,5,10
13,77,Medium,Medium,Yes,10,62,Medium,Yes,1,High,Medium,Private,Neutral,4,No,College,Moderate,Male,65,2,2,1,2,1,3,2,1,0,0,2,2,1,1001,1.3,6,7,14
35,85,Medium,High,Yes,6,73,High,Yes,1,High,Medium,Public,Negative,5,No,High School,Moderate,Female,74,2,3,1,3,1,3,2,0,-1,0,1,2,0,2975,5.833333333333333,7,6,11
21,74,Medium,Low,Yes,7,52,Low,Yes,1,High,Medium,Public,Negative,4,No,High School,Far,Male,62,2,1,1,1,1,3,2,0,-1,0,1,1,1,1554,3.0,5,6,11
21,72,High,Medium,No,7,60,Low,Yes,0,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,65,3,2,0,1,1,1,2,1,0,0,3,3,1,1512,3.0,5,7,11
24,83,Low,High,No,6,85,Low,Yes,1,Low,High,Public,Neutral,4,No,High School,Moderate,Female,68,1,3,0,1,1,1,3,0,0,0,1,2,0,1992,4.0,8,3,10
23,80,Medium,Low,Yes,6,56,Medium,Yes,3,Medium,Medium,Public,Positive,2,Yes,High School,Near,Male,66,2,1,1,2,1,2,2,0,1,1,1,3,1,1840,3.8333333333333335,7,5,8
21,83,High,Medium,Yes,6,81,Low,Yes,3,High,Medium,Public,Negative,4,No,Postgraduate,Moderate,Male,71,3,2,1,1,1,3,2,0,-1,0,3,2,1,1743,3.5,8,9,10
15,71,Medium,High,No,8,50,Low,Yes,1,Medium,Medium,Public,Neutral,2,Yes,Postgraduate,Near,Female,62,2,3,0,1,1,2,2,0,0,1,3,3,0,1065,1.875,7,7,10
23,75,Low,High,Yes,6,73,Low,Yes,1,Low,Medium,Public,Positive,2,No,High School,Moderate,Female,65,1,3,1,1,1,1,2,0,1,0,1,2,0,1725,3.8333333333333335,7,3,8
31,63,Medium,High,No,9,86,Low,Yes,0,High,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Male,68,2,3,0,1,1,3,2,0,0,0,3,2,1,1953,3.4444444444444446,6,8,12
28,62,Medium,High,No,6,96,Medium,Yes,4,Medium,High,Public,Positive,3,No,High School,Near,Male,70,2,3,0,2,1,2,3,0,1,0,1,3,1,1736,4.666666666666667,11,5,9
30,70,Low,Medium,No,8,75,Medium,Yes,1,Medium,Medium,Private,Positive,2,No,High School,Near,Female,67,1,2,0,2,1,2,2,1,1,0,1,3,0,2100,3.75,6,4,10
17,63,Medium,Medium,No,4,92,Medium,Yes,2,Low,Medium,Public,Negative,4,No,High School,Near,Female,63,2,2,0,2,1,1,2,0,-1,0,1,3,0,1071,4.25,7,4,8
14,64,High,High,Yes,6,90,Low,Yes,0,Low,High,Private,Negative,2,No,High School,Near,Female,63,3,3,1,1,1,1,3,1,-1,0,1,3,0,896,2.3333333333333335,7,5,8
19,93,Medium,High,No,6,65,Medium,Yes,0,Medium,High,Public,Neutral,3,No,High School,Near,Male,69,2,3,0,2,1,2,3,0,0,0,1,3,1,1767,3.1666666666666665,7,5,9
20,62,Low,Medium,Yes,5,94,High,Yes,3,Medium,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,66,1,2,1,3,1,2,2,0,0,0,3,3,1,1240,4.0,8,6,8
27,86,Medium,Medium,Yes,7,82,Low,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,70,2,2,1,1,1,1,2,0,1,0,1,2,0,2322,3.857142857142857,7,4,10
10,71,Medium,Medium,Yes,7,55,High,Yes,2,Low,High,Public,Positive,3,No,College,Near,Female,63,2,2,1,3,1,1,3,0,1,0,2,3,0,710,1.4285714285714286,8,5,10
29,95,Low,Medium,Yes,4,97,Medium,Yes,0,Medium,Medium,Private,Positive,4,Yes,College,Moderate,Female,72,1,2,1,2,1,2,2,1,1,1,2,2,0,2755,7.25,5,5,8
19,79,High,Medium,Yes,10,59,Low,Yes,1,Medium,Medium,Public,Neutral,3,Yes,College,Moderate,Male,65,3,2,1,1,1,2,2,0,0,1,2,2,1,1501,1.9,6,7,13
17,72,Medium,High,Yes,7,74,Low,Yes,2,High,Medium,Public,Positive,4,No,Postgraduate,Far,Male,67,2,3,1,1,1,3,2,0,1,0,3,1,1,1224,2.4285714285714284,8,8,11
14,81,Medium,Medium,Yes,7,73,Low,No,1,High,Medium,Private,Positive,3,Yes,High School,Moderate,Male,63,2,2,1,1,0,3,2,1,1,1,1,2,1,1134,2.0,5,6,10
10,75,High,Medium,No,9,81,Medium,Yes,3,Low,High,Public,Negative,5,No,High School,Near,Female,65,3,2,0,2,1,1,3,0,-1,0,1,3,0,750,1.1111111111111112,9,5,14
25,83,Medium,Medium,Yes,8,83,Medium,Yes,2,Low,Medium,Public,Neutral,1,Yes,High School,Moderate,Female,67,2,2,1,2,1,1,2,0,0,1,1,2,0,2075,3.125,7,4,9
20,65,Medium,Low,Yes,7,62,High,Yes,0,Medium,Medium,Public,Neutral,0,Yes,Postgraduate,Near,Male,80,2,1,1,3,1,2,2,0,0,1,3,3,1,1300,2.857142857142857,4,7,7
12,100,Medium,Medium,Yes,4,68,Medium,Yes,2,Low,Medium,Public,Neutral,3,No,College,Far,Male,68,2,2,1,2,1,1,2,0,0,0,2,1,1,1200,3.0,7,5,7
12,77,Medium,Medium,Yes,8,57,Medium,Yes,2,Low,High,Public,Negative,2,No,College,Moderate,Male,63,2,2,1,2,1,1,3,0,-1,0,2,2,1,924,1.5,8,5,10
18,74,Medium,Medium,No,6,56,Medium,Yes,1,Medium,Medium,Private,Positive,3,No,College,Moderate,Male,64,2,2,0,2,1,2,2,1,1,0,2,2,1,1332,3.0,6,6,9
30,88,Medium,Medium,No,9,91,Medium,Yes,3,Medium,Low,Public,Positive,3,No,High School,Near,Female,73,2,2,0,2,1,2,1,0,1,0,1,3,0,2640,3.3333333333333335,7,5,12
18,75,Medium,Medium,Yes,6,88,Low,Yes,2,Medium,High,Public,Negative,1,Yes,Postgraduate,Near,Female,66,2,2,1,1,1,2,3,0,-1,1,3,3,0,1350,3.0,8,7,7
11,93,Medium,Medium,Yes,6,72,Low,Yes,2,Low,Medium,Public,Negative,3,No,College,Moderate,Male,66,2,2,1,1,1,1,2,0,-1,0,2,2,1,1023,1.8333333333333333,7,5,9
19,78,High,High,No,5,55,Medium,Yes,0,Medium,Medium,Public,Neutral,4,No,High School,Moderate,Male,66,3,3,0,2,1,2,2,0,0,0,1,2,1,1482,3.8,6,6,9
18,89,Medium,High,Yes,5,72,Low,Yes,4,Medium,Low,Public,Neutral,2,No,High School,Near,Female,69,2,3,1,1,1,2,1,0,0,0,1,3,0,1602,3.6,9,5,7
4,64,Medium,High,Yes,7,65,Medium,Yes,1,Medium,High,Public,Negative,4,No,High School,Far,Male,59,2,3,1,2,1,2,3,0,-1,0,1,1,1,256,0.5714285714285714,8,5,11
20,94,Medium,Medium,No,7,89,Medium,Yes,0,Low,Medium,Private,Neutral,1,No,High School,Near,Male,68,2,2,0,2,1,1,2,1,0,0,1,3,1,1880,2.857142857142857,5,4,8
19,89,Medium,Medium,No,6,55,Medium,Yes,1,Low,Medium,Private,Neutral,3,No,Postgraduate,Moderate,Female,67,2,2,0,2,1,1,2,1,0,0,3,2,0,1691,3.1666666666666665,6,6,9
24,68,Medium,Medium,Yes,10,73,Low,Yes,1,Medium,Medium,Public,Neutral,4,Yes,High School,Moderate,Female,64,2,2,1,1,1,2,2,0,0,1,1,2,0,1632,2.4,6,5,14
31,66,Low,High,Yes,8,80,Low,Yes,0,Low,Low,Private,Negative,4,No,High School,Near,Female,65,1,3,1,1,1,1,1,1,-1,0,1,3,0,2046,3.875,5,3,12
27,73,Medium,Medium,No,7,99,Low,Yes,1,Low,Medium,Public,Positive,4,No,College,Near,Male,68,2,2,0,1,1,1,2,0,1,0,2,3,1,1971,3.857142857142857,6,5,11
18,99,Medium,High,Yes,4,54,Low,Yes,0,Medium,Medium,Public,Positive,3,No,Postgraduate,Moderate,Male,70,2,3,1,1,1,2,2,0,1,0,3,2,1,1782,4.5,6,7,7
